form,root,pos,modification,form_IAST,root_IAST
tsartvA,tsar,gerund,,tsartvā,tsar
daMSitvA,daMS,gerund,,daṃśitvā,daṃś
dakzitvA,dakz,gerund,,dakṣitvā,dakṣ
dagDvA,daG,gerund,,dagdhvā,dagh
dagDvA,dah#1,gerund,,dagdhvā,dah#1
daRqayitvA,daRqa,gerund,,daṇḍayitvā,daṇḍa
dattvA,dA#1,gerund,,dattvā,dā#1
dabDvA,daB,gerund,,dabdhvā,dabh
damayitvA,dam#1,gerund,caus,damayitvā,dam#1
damitvA,dam#1,gerund,,damitvā,dam#1
dayitvA,day,gerund,,dayitvā,day
darpayitvA,dfp,gerund,caus,darpayitvā,dṛp
darpitvA,dfp,gerund,,darpitvā,dṛp
darBayitvA,dfB,gerund,caus,darbhayitvā,dṛbh
