Root,Class,Derivation,Tense,Voice,Person,Number,Expected (INRIA),Actual (FST)
budh,1 (desiderative),desiderative,periphrastic_future,active,1,sg,bubhutsitāsmi OR bubhodiṣitāsmi OR bubhodhiṣitāsmi,bubhodhiṣitāsmi
budh,1 (desiderative),desiderative,periphrastic_future,active,1,du,bubhutsitāsvaḥ OR bubhodiṣitāsvaḥ OR bubhodhiṣitāsvaḥ,bubhodhiṣitāsvaḥ
budh,1 (desiderative),desiderative,periphrastic_future,active,1,pl,bubhutsitāsmaḥ OR bubhodiṣitāsmaḥ OR bubhodhiṣitāsmaḥ,bubhodhiṣitāsmaḥ
budh,1 (desiderative),desiderative,periphrastic_future,active,2,sg,bubhutsitāsi OR bubhodiṣitāsi OR bubhodhiṣitāsi,bubhodhiṣitāsi
budh,1 (desiderative),desiderative,periphrastic_future,active,2,du,bubhutsitāsthaḥ OR bubhodiṣitāsthaḥ OR bubhodhiṣitāsthaḥ,bubhodhiṣitāsthaḥ
budh,1 (desiderative),desiderative,periphrastic_future,active,2,pl,bubhutsitāstha OR bubhodiṣitāstha OR bubhodhiṣitāstha,bubhodhiṣitāstha
budh,1 (desiderative),desiderative,periphrastic_future,active,3,sg,bubhutsitā OR bubhodiṣitā OR bubhodhiṣitā,bubhodhiṣitā
budh,1 (desiderative),desiderative,periphrastic_future,active,3,du,bubhutsitārau OR bubhodiṣitārau OR bubhodhiṣitārau,bubhodhiṣitārau
budh,1 (desiderative),desiderative,periphrastic_future,active,3,pl,bubhutsitāraḥ OR bubhodiṣitāraḥ OR bubhodhiṣitāraḥ,bubhodhiṣitāraḥ
budh,1 (intensive),intensive,present,active,1,sg,bobhudhīmi OR bobhodhmi,bobhodhmi OR bobhodhīmi
budh,1 (intensive),intensive,present,active,2,sg,bobhudhīṣi OR bobhotsi,bobhodhīṣi OR bobhotsi
budh,1 (intensive),intensive,present,active,3,sg,bobhudhīti OR bobhoddhi,bobhoddhi OR bobhodhīti
budh,1 (intensive),intensive,imperative,active,3,sg,bobhoddhu OR bobhodhītu,bobhoddhu OR bobhoddhāt OR bobhodhītu OR bobhodhītāt
duh,2 (primary),primary,imperfect,middle,3,pl,aduhata OR aduhra,aduhata
gam,1 (primary),primary,perfect,active,2,sg,jagantha OR jagamitha,jagamitha
gam,1 (primary),primary,aorist,active,1,sg,agamam OR ajīgamam,agamam
gam,1 (primary),primary,aorist,active,1,du,aganva OR agamāva OR ajīgamāva,agamāva
gam,1 (primary),primary,aorist,active,1,pl,aganma OR agamāma OR ajīgamāma,agamāma
gam,1 (primary),primary,aorist,active,2,sg,agamaḥ OR ajīgamaḥ,agamaḥ
gam,1 (primary),primary,aorist,active,2,du,agantam OR agamatam OR ajīgamatam,agamatam
gam,1 (primary),primary,aorist,active,3,sg,agan OR agamat OR ajīgamat,agamat
gam,1 (primary),primary,aorist,active,3,du,agantām OR agamatām OR ajīgamatām,agamatām
gam,1 (primary),primary,aorist,active,3,pl,agaman OR agman OR ajīgaman,agaman
gam,1 (primary),primary,aorist,middle,1,sg,agami OR agame OR ajīgame,agame
gam,1 (primary),primary,aorist,middle,1,du,aganvahi OR agamāvahi OR ajīgamāvahi,agamāvahi
gam,1 (primary),primary,aorist,middle,1,pl,aganmahi OR agamāmahi OR ajīgamāmahi,agamāmahi
gam,1 (primary),primary,aorist,middle,2,sg,aganthāḥ OR agamathāḥ OR ajīgamathāḥ,agamathāḥ
gam,1 (primary),primary,aorist,middle,2,du,agamāthām OR agamethām OR ajīgamethām,agamethām
gam,1 (primary),primary,aorist,middle,2,pl,agandhvam OR agamadhvam OR ajīgamadhvam,agamadhvam
gam,1 (primary),primary,aorist,middle,3,sg,aganta OR agamata OR ajīgamata,agamata
gam,1 (primary),primary,aorist,middle,3,du,agamātām OR agametām OR ajīgametām,agametām
gam,1 (primary),primary,aorist,middle,3,pl,agamanta OR ajīgamanta,agamanta
gam,1 (primary),primary,injunctive,active,1,sg,gamam OR jīgamam,gamam
gam,1 (primary),primary,injunctive,active,1,du,ganva OR gamāva OR jīgamāva,gamāva
gam,1 (primary),primary,injunctive,active,1,pl,ganma OR gamāma OR jīgamāma,gamāma
gam,1 (primary),primary,injunctive,active,2,sg,gamaḥ OR jīgamaḥ,gamaḥ
